	patientID	Week	Lactobacillus_crispatus	Lactobacillus_iners	Lactobacillus_gasseri	Lactobacillus_jensenii	Atopobium_vaginae	Megasphaera_sp._type_1	Streptococcus_anginosus	Prevotella_genogroup_3	Clostridiales	Enterococcus_faecalis	Corynebacterium_accolens	Total	Shannon	ISDI
149	EM15	10	0.991593632624	0.00053657664103	0.0	0.00626006081202	0.000357717760687	0.0	0.0	0.0	0.0	0.0	0.0	5591	-0.0470111104868	1.01698617446
150	AYAC01	10	0.0	0.0525714285714	0.0	0.0	0.022	0.391714285714	0.0	0.00114285714286	0.00285714285714	0.0	0.00685714285714	3500	-0.630423552403	6.381730642
151	AYAC02	10	0.71261199173	0.207213416035	0.00390535263037	0.044337238686	0.0	0.0	0.000229726625316	0.0	0.0	0.00183781300253	0.00367562600505	4353	-0.740911099005	1.80917631942
152	AYAC03	10	0.565487048522	0.421743889092	0.00145932141554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000729660707771	2741	-0.696010618482	2.00946199529
153	AYAC04	10	0.955215085445	0.00117855038303	0.0041249263406	0.0263209585543	0.0	0.0	0.0	0.0	0.0	0.000392850127676	0.000196425063838	5091	-0.17318338467	1.09511367755
154	AYAC05	10	0.0015559013114	0.81662591687	0.000889086463659	0.0906868192932	0.000444543231829	0.0	0.0	0.0	0.0	0.0	0.0	4499	-0.402844102165	1.4812501953
155	AYAC06	10	0.0	0.00573065902579	0.896848137536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00286532951289	349	-0.127219949838	1.24320986394
156	AYAC07	10	0.98128342246	0.00213903743316	0.000534759358289	0.0110516934046	0.0	0.0	0.0	0.0	0.0	0.0	0.00142602495544	5610	-0.0855083252364	1.03837398647
157	AYAC08	10	0.127458339589	0.865485662813	0.000150127608467	0.000150127608467	0.0	0.0	0.0	0.0	0.0	0.0	0.000150127608467	6661	-0.390235191511	1.30665815802
158	AYAC09	10	0.999504091247	0.000247954376395	0.0	0.000123977188197	0.0	0.0	0.0	0.0	0.0	0.000123977188197	0.0	8066	-0.00478482092228	1.00099246336
159	AYAC10	10	0.395204741379	0.553475215517	0.00121228448276	0.0304418103448	0.00255926724138	0.0	0.0	0.0	0.0	0.0	0.00161637931034	7424	-0.824006141994	2.15770061998
160	EM01	10	0.000245760629147	0.823789628901	0.00122880314574	0.000245760629147	0.0825755713935	0.0	0.000245760629147	0.00688129761612	0.00835586139101	0.0	0.0088473826493	4069	-0.454235777997	1.45864676293
161	EM02	10	0.000269034167339	0.959913909066	0.0013451708367	0.0	0.00188323917137	0.0	0.0	0.000269034167339	0.0	0.0	0.0013451708367	3717	-0.0644050879413	1.08525760563
162	EM03	10	0.987485036457	0.00598541734683	0.00152356077919	0.000217651539885	0.0	0.0	0.0	0.0	0.0	0.0	0.000108825769942	9189	-0.0547905187311	1.02546759955
163	EM04	10	0.0	0.0	0.000399467376831	0.970972037284	0.0	0.0	0.00878828229028	0.0	0.0	0.0	0.00332889480692	7510	-0.0733351792386	1.06059824518
164	EM06	10	0.0	0.000552028705493	0.998205906707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7246	-0.00593375289189	1.00359755912
165	EM07	10	0.951234342697	0.00753982731363	0.00790465766752	0.0153228748632	0.0	0.0	0.0	0.0	0.000364830353885	0.0	0.000121610117962	8223	-0.189582322092	1.10472697868
166	EM08	10	0.993686255464	0.0011332361988	0.0	0.000161890885543	0.0	0.0	0.0	0.000161890885543	0.0	0.0	0.000809454427716	6177	-0.0168063045113	1.012746723
167	EM09	10	0.142614280317	0.834151870042	0.00793350963355	0.00170003777862	0.0	0.0	0.0	0.0	0.0	0.00132225160559	0.000188893086513	5294	-0.486999604323	1.39622731558
168	EM10	10	0.000298507462687	0.690298507463	0.0	0.0	0.0	0.0	0.000149253731343	0.0	0.0	0.000149253731343	0.00597014925373	6700	-0.260898843393	2.09858231859
169	EM11	10	0.996257796258	0.0004158004158	0.0	0.0015246015246	0.0	0.0	0.0	0.0	0.0	0.0	0.0011088011088	7215	-0.0168609254114	1.00752409533
170	EM12	10	0.0	0.622274602239	0.0	0.375761147122	0.000196425063838	0.0	0.0	0.0	0.0	0.0	0.0	5091	-0.664662907503	1.89242631716
171	EM13	10	0.00043956043956	0.15010989011	0.0	0.00021978021978	0.187912087912	0.096043956044	0.0	0.00241758241758	0.0443956043956	0.0	0.0	4550	-0.981930508824	14.4832179363
172	EM14	10	0.971955128205	0.0088141025641	0.0	0.0136217948718	0.0	0.0	0.0	0.0	0.0	0.0	0.00160256410256	1248	-0.127871328383	1.05824583718
173	EM15	10	0.992486187845	0.00110497237569	0.0	0.00441988950276	0.000662983425414	0.0	0.0	0.0	0.0	0.0	0.0	4525	-0.0438233617974	1.01517686469
174	AYAC01	10	0.000253164556962	0.0574683544304	0.0	0.0	0.0253164556962	0.337974683544	0.0	0.00227848101266	0.00329113924051	0.000253164556962	0.00607594936709	3950	-0.660729938971	8.46119806552
175	AYAC02	10	0.659447194719	0.278052805281	0.00247524752475	0.0400165016502	0.000206270627063	0.0	0.0	0.0	0.0	0.0	0.000618811881188	4848	-0.775852263977	1.94631496956
176	AYAC03	10	0.787333063537	0.202751922299	0.000404694455686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000202347227843	4942	-0.514961904736	1.51285504998
177	AYAC04	10	0.949237634808	0.000371885459279	0.00595016734846	0.029378951283	0.0	0.0	0.0	0.0	0.0	0.0	0.000185942729639	5378	-0.186512561641	1.10870798298
178	AYAC05	10	0.00143437724121	0.759741812097	0.00143437724121	0.106382978723	0.00167344011475	0.0	0.000478125747071	0.0	0.0	0.0	0.000239062873536	4183	-0.480268134894	1.69914265466
179	AYAC06	10	0.000274649821478	0.000549299642955	0.917330403735	0.0	0.0	0.0	0.00411974732216	0.0	0.0	0.0	0.000274649821478	3641	-0.108155357334	1.18833659172
180	AYAC07	10	0.983588621444	0.00692924872356	0.00018234865062	0.0072939460248	0.0	0.0	0.0	0.0	0.0	0.0	0.00018234865062	5484	-0.088189565183	1.03354064111
181	AYAC08	10	0.127921958402	0.861402540033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000184060371802	5433	-0.391565924892	1.3186030196
182	AYAC09	10	0.999636671915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8257	-0.000363262073617	1.00072705238
183	AYAC10	10	0.352185756908	0.573485536386	0.000518874043326	0.0535737449734	0.00090802957582	0.0	0.000129718510831	0.0	0.000129718510831	0.0	0.00194577766247	7709	-0.855811538225	2.19398446537
184	EM01	10	0.000149476831091	0.662630792227	0.0	0.0	0.0947683109118	0.0	0.0304932735426	0.0303437967115	0.0034379671151	0.000149476831091	0.0439461883408	6690	-0.730623879376	2.22260228921
185	EM02	10	0.000482858522453	0.903750201191	0.000321905681635	0.0	0.000965717044906	0.083856430066	0.000160952840818	0.000160952840818	0.0	0.0	0.0	6213	-0.31510405678	1.21389033116
186	EM03	10	0.960882867133	0.0260052447552	0.00305944055944	0.000874125874126	0.000218531468531	0.0	0.000218531468531	0.0	0.0	0.0	0.0	4576	-0.160799272537	1.08227172402
187	EM04	10	0.0	0.0	0.000277046682366	0.921872835573	0.0	0.0	0.00415570023549	0.0	0.000277046682366	0.0	0.00581798032969	7219	-0.102318102756	1.17665477164
188	EM06	10	0.0	0.000260145681582	0.998178980229	0.000130072840791	0.0	0.0	0.0	0.0	0.0	0.0	0.000260145681582	7688	-0.00513048889279	1.00365192688
189	EM07	10	0.950978053435	0.0265982824427	0.00131202290076	0.00882633587786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8384	-0.194725311524	1.10479371364
190	EM08	10	0.995750493246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000303536196691	6589	-0.00424046478279	1.00855349702
191	EM09	10	0.556223342381	0.427879022877	0.00465296626599	0.00542846064366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5158	-0.742808287553	2.03039096049
192	EM10	10	0.000572475383559	0.70368674147	0.0	0.0	0.0	0.0	0.000228990153423	0.0	0.0	0.000114495076712	0.00721318983284	8734	-0.254523231603	2.01948633303
193	EM11	10	0.99301252472	0.00171390903098	0.0	0.00171390903098	0.0	0.0	0.0	0.0	0.0	0.0	0.00184574818721	7585	-0.0287947054711	1.01411675962
194	EM12	10	0.0	0.655261459006	0.0	0.339089735313	0.000161394448031	0.0	0.0	0.0	0.0	0.000161394448031	0.0	6196	-0.646533556013	1.8370551201
195	EM13	10	0.00109910239971	0.100018318373	0.0	0.0	0.422055321487	0.00329730719912	0.0	0.000183183733284	0.0485436893204	0.0	0.0	5459	-0.769121773261	5.24926221368
196	EM14	10	0.983604091456	0.00120336943442	0.0	0.0106799037304	0.0	0.0	0.0	0.0	0.0	0.0	0.000601684717208	6648	-0.0728308259422	1.03349290353
197	EM15	10	0.993354885057	0.000718390804598	0.0	0.00395114942529	0.0	0.000359195402299	0.0	0.0	0.0	0.0	0.0	5568	-0.0365367349205	1.0134071903
